FIPSCode,StateSearched,"County, State",Total TAT-ReportLevel(Days)
16035,id,"clearwater, id",339.128
27029,mn,"clearwater, mn",52.633
1029,al,"cleburne, al",37.55
5023,ar,"cleburne, ar",242.599
39025,oh,"clermont, oh","12,279.88"
5025,ar,"cleveland, ar",48.262
37045,nc,"cleveland, nc","1,669.52"
40027,ok,"cleveland, ok","10,264.21"
13065,ga,"clinch, ga",93.599
19045,ia,"clinton, ia","1,749.84"
17027,il,"clinton, il","1,189.38"
18023,in,"clinton, in","2,887.99"
21053,ky,"clinton, ky",364.886
26037,mi,"clinton, mi","6,995.31"
29049,mo,"clinton, mo",442.269
36019,ny,"clinton, ny","2,019.18"
39027,oh,"clinton, oh","1,967.20"
42035,pa,"clinton, pa","1,322.97"
20029,ks,"cloud, ks",182.791
28027,ms,"coahoma, ms","1,184.76"
40029,ok,"coal, ok",283.44
13067,ga,"cobb, ga","73,665.75"
4003,az,"cochise, az","6,622.36"
48079,tx,"cochran, tx",144.307
47029,tn,"cocke, tn","1,289.82"
4005,az,"coconino, az","7,663.98"
46029,sd,"codington, sd",97.997
1031,al,"coffee, al",366.576
13069,ga,"coffee, ga",989.966
47031,tn,"coffee, tn","6,577.29"
20031,ks,"coffey, ks",292.596
48081,tx,"coke, tx",188.578
1033,al,"colbert, al",195.577
29051,mo,"cole, mo",628.029
48083,tx,"coleman, tx",275.2
17029,il,"coles, il","1,967.32"
31037,ne,"colfax, ne",346.887
35007,nm,"colfax, nm",389.61
45029,sc,"colleton, sc","4,938.12"
12021,fl,"collier, fl","11,064.06"
48085,tx,"collin, tx","70,541.63"
48087,tx,"collingsworth, tx",145.658
51570,va,"colonial heights city, va","2,628.21"
48089,tx,"colorado, tx","1,055.35"
13071,ga,"colquitt, ga",992.176
5027,ar,"columbia, ar",306.027
12023,fl,"columbia, fl","1,821.20"
13073,ga,"columbia, ga","11,137.48"
36021,ny,"columbia, ny",633.433
41009,or,"columbia, or",396.784
42037,pa,"columbia, pa","2,520.38"
53013,wa,"columbia, wa",26.015
55021,wi,"columbia, wi","2,951.02"
39029,oh,"columbiana, oh","4,583.31"
37047,nc,"columbus, nc",864.377
6011,ca,"colusa, ca",466.937
